title,location,company,summary,salary
Graduate Software Engineer (London),Amsterdam Zuid,Optiver,"Working together, our traders and software engineers design proprietary systems and execute strategies to provide liquidity and increase market efficiencies.",
Junior API Integration Engineer-Netherlands,Amsterdam Centrum,Enterprise Bot,"At Enterprise Bot, we create AI-powered bots to automate customer interactions and provide enterprises with a readily accessible digital agent to improve…",
Software Engineer,Rotterdam,Equalture,We are looking for a software engineer to help us scale and optimize our infrastructure.You mentor other engineers and enjoy learning from one another.,€3.000 - €4.500 per maand
Experienced C# Engineer,Nootdorp,Fugro,Agile and passionate about software engineering;You will participate in software design targeting cloud environment.Knowledge of XAML and WPF is useful;,
"Deep Learning Research Engineer (Qualcomm Research, Amsterda...",Amsterdam,Qualcomm Technologies Netherlands B.V.,"As a Deep Learning Researcher at Qualcomm, your role involves testing hypotheses, quickly iterating on promising ideas, and prototyping and implementing these…",
EU Software Developer,Tilburg,Tesla,"Collaborate with other cross-functional teams such as product managers, quality engineers and release engineers to own your solution from start to deployment.",
Principal Software Engineer,Schiphol,Liberty Global,"Support and develop software engineers by providing advice, coaching and educational opportunities.Liberty Global is one of the world’s leading converged video…",
"Lead Software Engineer, Back-End",Amsterdam,Everon,Your software will handle load balancing and interoperability with roaming partners.Experience in engineering low latency software systems of medium to large…,
Autopilot Software QA Engineer,Amsterdam,Tesla,"Experience troubleshooting on both software and hardware level.3+ years of experience testing automotive or robotic systems, vehicle dynamics, embedded or…",
Senior Software Engineer,Amsterdam,Tommy Hilfiger,"Tools: software containerization (Docker), GitLab, Swagger.The Technology team aims to become driving force in the organization for technology strategies &…",
Websphere Engineer,Utrecht,Rabobank,You have general knowledge of software development and knowledge of the business domain that you work for.Imagine… with your DevOps team you are managing the…,
Simulation Engineer,Nederland,INCONTROL Simulation Solutions,Provide user support our software users.Support our project engineers & consultants in client meetings.Are you ready to solve diverse logistic puzzles using…,
Software Engineer - Email Automation,Amsterdam,WeTransfer,"At the moment the team consists of a mix data engineers and scientist, full stack engineers and email experts.Full-time / Part-time · Amsterdam.",
"Senior Software Engineer, Back-End",Amsterdam,Everon,"Experience in engineering low latency software systems of medium to large scope and complexity.At Everon, we make expansion into EV charging easy and…",
Software Test Engineer,Rotterdam,Science [&] Technology Corporation,"Knowledge with data processing algorithms, control software and operating systems.Together with various stakeholders, they develop, test, integrate and qualify…",
Software Engineer - New Grad 2021 (Amsterdam),Amsterdam,Databricks,"We are hiring software engineers who are passionate about architecting, developing, deploying, and operating the Databricks product.",
Microscopy Engineer,Delft,Microsoft,"Microsoft’s verticalized approach involves exciting innovations at every level, from the qubit device and quantum information plane, to the quantum-classical…",
Mechanical Engineer (R&D),Hengelo OV,Howden Netherlands B.V.,"Ervaring met technische software zoals MATLAB;Howden is marktleider in ventilatoren, warmtewisselaars en compressoren, met toepassingen in o.a.…",€4.000 - €5.250 per maand
